TikTok User Statistics
Username,quellochelegge
Nickname,quellochelegge
Country,
Follower Count,97500
Heart Count,3300000
Video Count,571
Following Count,93
Likes Rate,7.58%
Comments Rate,0.05%
Shares Rate,0.17%
Total Engagement Rate,7.8%
Earnings Min,$73.57
Earnings Max,$115.62
Average Views,78915
Average Likes,5979
Average Comments,40
Average Shares,137
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/10/2025, 6:07:34 PM,24800,1287,6,30,"%23BookTok %23booktokitalia %23booktiktoker %23libridaleggere %23libriconsigliati "
11/7/2025, 2:37:42 PM,2116,191,0,1,"%23BookTok %23booktokitalia %23booktiktoker %23libridaleggere %23libriconsigliati "
11/4/2025, 6:35:25 PM,5879,432,0,9,"%23BookTok %23booktokitalia %23booktiktoker %23libridaleggere %23libriconsigliati "
11/3/2025, 5:58:00 PM,385000,27800,42,784,"%23BookTok %23booktokitalia %23booktiktoker %23libridaleggere %23libriconsigliati "
10/30/2025, 6:00:58 PM,14600,533,5,9,"%23BookTok %23booktokitalia %23booktiktoker %23libridaleggere %23libriconsigliati "
10/20/2025, 6:00:55 PM,217100,13500,15,336,"%23BookTok %23booktokitalia %23booktiktoker %23libridaleggere %23libriconsigliati "
10/8/2025, 1:04:18 PM,3923,118,0,0,"%23BookTok %23booktokitalia %23booktiktoker %23libridaleggere %23libriconsigliati "
10/7/2025, 7:49:33 PM,10500,447,1,13,"%23BookTok %23booktokitalia %23booktiktoker %23libridaleggere %23libriconsigliati "
9/16/2025, 7:05:12 PM,53200,3407,23,101,"%23BookTok %23booktokitalia %23booktiktoker %23libridaleggere %23libriconsigliati "
9/15/2025, 12:34:22 PM,159300,20500,387,269,"%23BookTok %23booktokitalia %23booktiktoker %23libridaleggere %23libriconsigliati "
9/10/2025, 1:15:58 PM,67600,3464,5,100,"%23BookTok %23booktokitalia %23booktiktoker %23libridaleggere %23libriconsigliati "
9/9/2025, 7:00:50 PM,2969,77,3,2,"%23BookTok %23booktokitalia %23booktiktoker %23libridaleggere %23libriconsigliati "
,
Mentions
,
Hashtags
BookTok,12
booktokitalia,12
booktiktoker,12
libridaleggere,12
libriconsigliati,12
