TikTok User Statistics
Username,readswithmarii
Nickname,Mari📚
Country,
Follower Count,3858
Heart Count,52200
Video Count,145
Following Count,248
Likes Rate,6.87%
Comments Rate,0.29%
Shares Rate,0.24%
Total Engagement Rate,7.4%
Earnings Min,$2.9
Earnings Max,$4.56
Average Views,6122
Average Likes,420
Average Comments,17
Average Shares,15
,
Videos
Date,Plays,Likes,Comments,Shares,Description
4/7/2025, 4:04:12 PM,44900,3300,28,128,"Vi consiglio quattro libri, piccoli ma devastanti❤️‍🩹  @Adelphi Edizioni @Il Saggiatore Casa Editrice  • • • %23booktokitalia %23libridaleggere %23libriconsigliati %23perte %23hankang %23fyp "
10/30/2025, 3:59:42 PM,3719,218,20,2,"Finalmente l’ho letto anche io e finalmente vi dico quello che penso. È stata un’esperienza di lettura molto particolare devo dire, però mi ha stupito quanto la scrittura di Ellis mi sia effettivamente piaciuta, non pensavo!  Voi l’avete letto?😵‍💫   • • • %23booktokitalia %23americanosycho %23breteastonellis %23consiglidilettura %23pertebooktok "
10/22/2025, 7:57:15 PM,2691,252,11,7,"eccoci qui finalmente con un aggiornamento (un po’ spooky🎃)  Ringrazio di cuore @Adelphi Edizioni ed @Iperborea Casa Editrice per queste due chicche che sto amando alla follia!!!   (la rece di Nella Carne la trovate sul profilo di @niente libri del BookTok qui !!)  %23booktokitalia %23pertebooktok %23consiglidilettura %23aggiornamentodilettura %23libridaleggere "
10/16/2025, 6:39:14 PM,1873,124,12,3,"Mi aspettavo di tutto fuorché un libro disturbante🤯  @Adelphi Edizioni  • • • %23booktokitalia %23pertebooktok %23consiglidilettura %23adelphi %23booktok"
10/7/2025, 4:41:42 PM,2614,205,25,9,"I terrestri di Murata Sayaka ha dato inizio alla mia ossessione per l’autrice🤓 @Edizioni E/O  • • • %23booktokitalia %23pertebooktok %23iterrestri %23muratasayaka %23consiglidilettura "
9/30/2025, 4:59:05 PM,1366,144,22,1,"eccoci qui col wrap up di settembre🥳 • • • %23booktokitalia %23pertebooktok %23wrapup %23libridaleggere "
9/24/2025, 7:04:29 PM,1685,146,16,2,"Finalmente un aggiornamento di lettura😜  @Edizioni E/O @Adelphi Edizioni  • • • %23booktokitalia %23pertebooktok %23libridaleggere %23consiglidiletturaitalia  "
9/22/2025, 4:19:27 PM,1701,77,7,10,"Come non mi avete mai vista🤓 @Firmoo Italy  codice sconto: maarii40 • • %23RisparmioConFirmoo %23firmoo %23occhiali %23booktokitalia %23pertebooktok "
9/15/2025, 4:52:07 PM,12600,453,23,21,"Un libro così è difficile da descrivere ma lo è ancora di più quando lo si è sentito tanto. Tornare nel booktok dopo tanto tempo è anche questo, non sapervi parlare di un libro come vorrei😩  • %23booktokitalia %23libridaleggere %23demoncopperhead %23consiglidilettura %23pertebooktok   "
9/10/2025, 7:59:41 PM,2293,182,18,2,"Wild Love mi ha proprio soddisfatta🩷  • • • %23booktokitalia %23libridaleggere %23wildlove %23elsiesilver %23romance"
9/8/2025, 6:57:59 PM,1487,131,34,5,"i’m back bitcheeeees🤏🏼💅 COME STATEEEE? "
8/7/2025, 7:04:56 PM,1297,109,7,3,"Se l’avete letto ditemi la vostra!!🥴 • • • %23booktokitalia %23libridaleggere %23babilonia %23pertebooktok "
8/4/2025, 2:29:15 PM,1370,126,6,2,"“strani disegni” vale la pena leggerlo?  @Giulio Einaudi editore  • %23booktokitalia %23consiglidilettura %23stranidisegni %23uketsu %23libridaleggere "
,
Mentions
@Adelphi,4
@Edizioni,2
@Iperborea,1
@Giulio,1
@Firmoo,1
@Il,1
@niente,1
,
Hashtags
booktokitalia,12
pertebooktok,9
libridaleggere,8
consiglidilettura,6
firmoo,1
muratasayaka,1
wrapup,1
iterrestri,1
americanosycho,1
libriconsigliati,1
elsiesilver,1
stranidisegni,1
adelphi,1
hankang,1
uketsu,1
consiglidiletturaitalia,1
perte,1
breteastonellis,1
aggiornamentodilettura,1
occhiali,1
romance,1
demoncopperhead,1
booktok,1
RisparmioConFirmoo,1
babilonia,1
wildlove,1
fyp,1
