TikTok User Statistics
Username,rickypedi
Nickname,Riccardo Pedicone
Country,
Follower Count,47300
Heart Count,670500
Video Count,133
Following Count,139
Likes Rate,0.85%
Comments Rate,0.01%
Shares Rate,0.03%
Total Engagement Rate,0.89%
Earnings Min,$33.4
Earnings Max,$52.49
Average Views,169994
Average Likes,1447
Average Comments,12
Average Shares,47
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/13/2025, 11:58:43 AM,1494,218,1,3,"Le fiabe🍃Quali leggevate nell’infanzia? Avete dei ricordi legati alle fiabe?  %23booktok %23booktokitalia %23libri %23booktokfyp %23imparacontiktok "
11/10/2025, 11:41:40 AM,2908,418,6,5,"Con quali parole iniziare la giornata? Oggi si sveglia con me Zhuang-zi. Nuova mattina nuovo incipit💡%23booktok %23booktokitalia %23libri %23booktokfyp %23imparacontiktok "
11/8/2025, 10:33:44 AM,3609,551,6,9,"Con quali parole iniziare la giornata? Oggi si è svegliato con me Cees Nooteboom, “Il canto dell’essere e dell’apparire”. Nuova mattina, nuovo incipit💡%23booktok %23booktokitalia %23libri %23booktokfyp %23imparacontiktok "
11/4/2025, 1:41:07 PM,5306,815,1,22,"Con quali parole iniziare la giornata? Oggi si è svegliato con me Pier Paolo Pasolini e “La divina mimesis”. Nuova mattina, nuovo incipit💡 %23pasolini %23booktok %23booktokitalia %23libri %23booktokfyp "
10/30/2025, 12:12:02 PM,4383,585,8,7,"Con quali parole iniziare la giornata? Oggi si è svegliata con me Anna Maria Ortese e ""La lente scura"". Nuova mattina, nuovo incipit💡 %23booktok %23booktokitalia %23libri %23booktokfyp %23imparacontiktok "
10/28/2025, 11:06:54 AM,6216,866,6,13,"Con quali parole iniziare la giornata? Oggi si è svegliato con me Mo Yan e “Il supplizio del legno di sandalo”. Nuova mattina, nuovo incipit💡 %23booktok %23booktokitalia %23libri %23booktokfyp %23imparacontiktok "
10/20/2025, 4:44:46 PM,1900000,4020,16,125,"E se Socrate avesse scelto la libertà?  Questa è la domanda da cui parte un giovane Roland Barthes per riscrivere le ultime ore di Socrate in “Che cos’è uno scandalo?”. Barthes racconta di come gli amici di Socreate lo convincano, inebriandolo, a non bere la cicuta ma bensì a mangiare i suoi frutti preferiti, sognando un giardino lontano ricco di profumi e sapori. Etro Nectar Eau de Parfum mi porta lì, inebriato tra fiori d’arancio, bergamotto e miele.  @Etro %23etronectar %23etro %23fragrance %23ad"
10/13/2025, 5:29:40 PM,20400,1657,27,66,"""Va a finire che moriamo di freddo aspettando la primavera"" - László Krasznahorkai ha vinto il Nobel per la letteratura. Questo video è un piccolo passo per avvicinarsi a ciò che ha scritto fino ad oggi. Chi me lo consigliò un paio di anni fa ci vide lungo. A pensarci, è un bellissimo invito a cercare al di fuori dei trend, anche al di fuori dei miei stessi consigli, libri che ci parlano in modo diretto, sconosciuti ai più. Penso al sottotitolo di una raccolta di poesie di Allen Ginsberg: ""IL MESSAGGIO È: ALLARGATE L'AREA DELLA COSCIENZA"".  %23booktok %23booktokitalia %23libri %23booktokfyp %23premionobel "
10/10/2025, 11:27:48 AM,44300,2826,22,131,"In “One battle after another” si parla in codice cantando “The revolution will not be televised” mentre Kendrick Lamar all’Half Time show del Super Bowl ci dice “The revolution about to be televised, you picked the right time, but the wrong guy”. Ecco tre libri che, secondo me, ampliano il film di Paul Thomas Anderson. E voi l’avete visto? 🎞️🎥  %23booktok %23booktokitalia %23onebattleafteranother %23paulthomasanderson %23libri "
10/6/2025, 11:50:55 AM,30800,3505,28,106,"Guarda, è l’autunno. Cosa state leggendo?📚 %23booktok %23booktokitalia %23booktokfyp %23libri %23imparacontiktok "
9/29/2025, 11:45:57 AM,5313,375,2,9,"Andrea Vailati - Episodio 2🍿 La serie torna a Milano. Andrea mi ha parlato di “Opinioni di un clown”, Heinrich Böll. @artesettima %23booktok %23booktokitalia %23booktokfyp %23libri %23imparacontiktok "
8/26/2025, 12:58:15 PM,15200,1530,21,75,"Cosa state cercando?  Siamo fatti di due momenti, quello in cui cerchiamo e quello in cui perdiamo. Questi sono solo quattro degli infiniti libri che, a parer mio, sono mossi da questi due grandi temi🍃L’estate sta finendo, avete letture da consigliare fatte in questi mesi? %23booktok %23booktokitalia %23booktokfyp %23libri %23imparacontiktok "
,
Mentions
@artesettima,1
@Etro,1
,
Hashtags
booktokitalia,11
libri,11
booktok,11
booktokfyp,10
imparacontiktok,8
fragrance,1
pasolini,1
ad,1
onebattleafteranother,1
etronectar,1
etro,1
premionobel,1
paulthomasanderson,1
