TikTok User Statistics
Username,samuelbooks
Nickname,samuelbooks
Country,
Follower Count,11900
Heart Count,258400
Video Count,747
Following Count,468
Likes Rate,5.47%
Comments Rate,0.19%
Shares Rate,0.13%
Total Engagement Rate,5.79%
Earnings Min,$8.81
Earnings Max,$13.85
Average Views,10063
Average Likes,550
Average Comments,19
Average Shares,13
,
Videos
Date,Plays,Likes,Comments,Shares,Description
2/11/2025, 1:37:33 PM,20300,702,90,47,"Io e @Alessandra Nofi 🌷Books vi aspettiamo ❤️ Questo mese, per il tema ALIENAZIONE, leggiamo “Il Processo” di Kafka, nella nuova stupenda edizione de @L'orma editore 🤍 dal 5 febbraio al 5 marzo! Unitevi in bio o scrivete “CLASSICI” nei commenti ✨ • • • • %23classici %23gruppodilettura %23gdl %23gdlclassici %23booktok %23booktokita %23perte %23fyp "
3/9/2025, 9:33:23 AM,36600,2810,62,19,"📚⤵️  📚Ciao! Se siete qui per la prima volta, benvenuti sul mio profilo! Qui parliamo di libri, letteratura e se vi servono consigli su qualcosa da leggere…beh siete nel posto giusto: unitevi a questa community! ✨ 📚 Dato che non ve lo chiedo da un po’, per conoscere nuove persone, parliamo nei commenti: “Quale libro vi ha deluso? Perché?” 📚 Parto io dicendovi “I miei stupidi intendi” di Zannoni, il perché lo trovate in un video in basso nel profilo! • • • • • • %23booktok %23libri %23leggere %23booktokitalia %23samuelbooks %23fyp "
3/23/2024, 10:42:24 AM,66000,2697,53,102,"Nuovo giorno, nuovo filtro. Questa volta con autori e autrici celebri della nostra letteratura📚 Fatelo se vi va e taggatemi ☺️ • • • • • • • • • • • • • • %23leggere %23lettura %23libri %23consiglidilettura %23videosuilibri %23booktokitalia📚🧿 %23booktok %23booktokitalia %23effettitiktok %23effecthouse %23fyp %23perte %23foryou "
11/12/2025, 10:45:20 AM,666,68,1,1,"📚 “Alexa cerca su IKEA comodino di 8 metri”  📚 Recentemente sto acquistando (o ricevendo) molti libri, e con recentemente intendo da tre anni a questa parte, e sono scisso tra la felicità di un giovane collezionista e i sensi di colpa di un lettore che vorrebbe ampliare le sue conoscenze letterarie ma non ha giornate di 64 ore.  📚 Voi come vi sentite a riguardo? Io alla fine la gestisco, dai. (forse). - - - %23booktok %23libri %23troppilibri %23consiglidilettura"
11/7/2025, 3:12:24 PM,820,51,0,0,"📚Ottobre, per me sei un SÌ! Poche ma ottime letture!  📚 Conoscete questi libri? Che ne pensate? Avete consigli su come continuare con questi autori e autrici?  📚 Parliamone nei commenti! - - - %23letture %23booktok %23leggere %23libri %23consiglidilettura"
11/4/2025, 1:47:41 PM,665,60,2,1,"📚 Satantango è una gemma stupenda. È il genere di narrazione che prediligo: la capacità di indagare il fallimento, la perdita di prospettive, la fiebile fiamma di speranza e la povertà. 📚 Leggo anche “Il dio del massacro” di Reza, che mi è stato mandato gentilmente da @bibliotecadibabele  📚 La Biblioteca di Babele è uno shop online di libri usati molto valido, potete trovare sia libri recenti che più datati. Sempre molto efficienti e con un catalogo enorme. Date un’occhiata! 📚 Voi cosa state leggendo? - - - %23booktok %23consiglidilettura %23libri %23leggere "
11/1/2025, 9:34:55 AM,846,65,1,0,"📣📚 SCAMBIOLIBRI!  📚Questo è un nuovo “format” che consiste nell’utilizzare la sezione commenti come un luogo per scambiare libri tra noi di questa community!  ❓ COME FUNZIONA: Scrivete nei commenti “ Io scambio questi libri … , cerco questi libri …”! Se trovate uno scambio che vi interessa, rispondete al commento della persona e vi organizzate in privato per lo swap.  ⚠️ Attenzione, ovviamente, ai furboni. Cercate di trovare modalità sicure per lo scambio, in modo tale da non avere problemi. Io ahimè non assumo responsabilità in quel caso ma confidiamo nel genere umano che questa cosa rimanga genuina!  📚 Io cerco: - “L’opera galleggiante” di John Barth nella nuova edizione di Minimum Fax  - “Milkman” di Anna Burns di Keller  Scambio: - “Patria” di Aramburu di Guanda (la nuova edizione) - “Infelici gli dei” di Swann di Bompiani 📚 Vediamo cosa ne esce fuori!  -  - - %23booktok %23consiglidilettura %23scambiolibri %23leggere "
10/15/2025, 3:15:19 PM,1875,86,22,0,"📚 Una breve riflessione sorta in mente durante la lettura, realizzata molto di getto e spero non troppo sconclusionata. 📚 Il recente Premio Nobel è un autore da scoprire. Un romanziere che pochi conoscevano (fuori dalla bolla dei lettori accaniti) e che potrebbe incutere timore. Buttatevi nella lettura e scoprite questo autore che a me sta facendo toccare vette altissime.  📚 Fatemi sapere se lo avete letto, che ne pensate e se trovate un senso al mio discorso.  ps: ora non lo trovate disponibile ma il 30 Ottobre tornerà  - - - %23booktok %23libri %23premionobel %23consiglidilettura"
