TikTok User Statistics
Username,sbarbine_che_leggono
Nickname,Sara 🫀 sbarbine_che_leggono
Country,
Follower Count,8410
Heart Count,228100
Video Count,743
Following Count,700
Likes Rate,9.26%
Comments Rate,0.12%
Shares Rate,0.15%
Total Engagement Rate,9.53%
Earnings Min,$6.45
Earnings Max,$10.13
Average Views,16949
Average Likes,1570
Average Comments,19
Average Shares,24
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/1/2022, 12:08:36 PM,4823,482,13,9,"Edit: mi sono dimenticata The Atlas Six 📓🖤 %23darkacademiabook %23darkacademiabooktok %23thesecrethistory %23diodiillusioni %23donnatartt %23booktok %23booktokitalia %23deadpoetssocietyedit %23lattimofuggente %23ifwewerevillains %23nonècolpadellaluna %23lettrici "
4/11/2024, 12:29:59 PM,16400,1143,5,15,"alcuni dei miei preferiti 🧁🐇 %23booktokitalia %23fleabag %23fleabagedit %23libripreferiti %23libridisturbanti %23cleopatraandfrankenstein %23sadgirlbooks %23naoisedolan %23joandidion %23leggoperlegittimadifesa "
10/23/2022, 9:22:41 PM,221300,21000,229,330,"Dimmi cosa bevi e ti dirò cosa leggere 📚🍷 %23booktok %23booktokitalia %23librievino %23librisulcomodino %23consiglidilettura %23sadgirlbooks %23darkacademiabooks %23lettriciditiktok %23leggerefantasy %23bookishtiktok %23gintoniclover "
11/12/2025, 11:03:58 PM,326,36,6,0,"gli ultimi libri che ho aggiunto alla wishlist %23booktoktrend %23librinondelbooktok %23bookishwishlist %23mentalhealthmatters %23narrativa "
11/11/2025, 10:06:41 PM,478,43,5,0,"%23ifyoulikedthisbook %23consiglidilettura %23booktoktrend %23narrativa %23libriconsigliati "
11/7/2025, 3:46:21 PM,584,59,4,0,"tbr di novembre (meglio tardi che mai) 📚☕️ %23tbrdinovembre %23novembertbr %23booktoktrend %23lettureautunnali %23booktokitalia "
11/3/2025, 6:12:03 PM,539,49,4,0,"in ottobre ho girato come una trottola, creato contest di racconti dell'orrore, indossato unghie di carta mentre leggevo ""Coraline"" in classe, guidato tra cartelli che dicevano ""zucche/ mele/ castagne"" con un audiolibro nelle orecchie, dormito fino a tardi perché avevo la sesta ora, pranzato alle 16 troppo spesso, parlato usando traduttori simultanei gesti e sguardi, scritto pagine e pagine di portfolio per l'abilitazione all'insegnamento, calpestato un sacco di foglie arancioni, ascoltato Marco Castello più del dovuto e qualche volta osservato in religioso silenzio (io che di solito dico sempre troppo). E stato bello finché è durato. %23wrapupdiottobre %23octoberwrapup %23booktoktrend %23lettrici %23fantasybooktok "
10/31/2025, 2:10:45 PM,1090,92,2,2,"acquisti e collab 🎃 quale ti ispira di più? %23booktokitalia %23bookcollab %23nuoveuscitelibri %23bookhaulitalia %23narrativa "
10/30/2025, 3:40:23 PM,895,48,2,2,"e tu quale personaggio preferisci? %23ginnyandgeorgia %23consiglidilettura %23booktoktrend %23serietvnetflix %23ginnyegeorgia "
10/26/2025, 3:27:14 PM,861,97,0,1,"dimmi che la mia saga fantasy preferita è la tua saga fantasy preferita %23booktrend %23booktokitalia %23theeldestdaughter %23librifantasy %23fantasybooktok "
10/24/2025, 12:29:33 PM,515,35,6,0,"consigli di lettura (molto) spooky per la notte più buia dell’anno 🎃 %23fazieditore %23booktokitalia %23lettureperhalloween %23lettureautunnali %23libriinofferta "
10/18/2025, 5:37:17 PM,1105,96,2,7,"book haul 🎃 con tutte le ultime novità in libreria che mi sono arrivate 😍 quale ti ispira di più? %23bookhaulitalia %23novitàinlibreria %23booktokitalia %23nuoveuscitelibri %23booktoker @Giunti Editore @Giulio Einaudi editore @Neri Pozza editore @Tunue @66thand2nd @Rizzoli "
10/12/2025, 8:24:29 PM,1551,110,2,1,"io ti sto aspettando %23donnatartt 🫶🏻 %23laenvidiaseteve %23booktrend %23letteratura %23booktokitalia "
10/4/2025, 4:21:50 PM,2548,165,8,6,"tbr di ottobre ☕️🍪 abbiamo qualche lettura in comune? %23tbrdiottobre %23octobertbr %23booktokitalia %23stoleggendo %23fallbooks @Ilcastorolibri @Alfonso Z @Giunti Editore @Neri Pozza editore "
10/2/2025, 6:20:46 PM,1226,99,5,1,"ne hai letto qualcuno? %23booktokitalia %23wrapupdisettembre %23septemberwrapup %23narrativa %23letturedisettembre "
,
Mentions
@Giunti,2
@Neri,2
@Tunue,1
@Giulio,1
@Alfonso,1
@Ilcastorolibri,1
@66thand2nd,1
@Rizzoli,1
,
Hashtags
booktokitalia,11
booktoktrend,5
narrativa,4
consiglidilettura,3
fantasybooktok,2
lettureautunnali,2
sadgirlbooks,2
donnatartt,2
nuoveuscitelibri,2
booktok,2
booktrend,2
bookhaulitalia,2
lettrici,2
fleabag,1
tbrdinovembre,1
booktoker,1
lettureperhalloween,1
theeldestdaughter,1
leggoperlegittimadifesa,1
darkacademiabooks,1
joandidion,1
wrapupdisettembre,1
deadpoetssocietyedit,1
libriconsigliati,1
bookcollab,1
novitàinlibreria,1
gintoniclover,1
wrapupdiottobre,1
ginnyandgeorgia,1
librisulcomodino,1
fazieditore,1
libriinofferta,1
lattimofuggente,1
bookishwishlist,1
cleopatraandfrankenstein,1
diodiillusioni,1
nonècolpadellaluna,1
mentalhealthmatters,1
bookishtiktok,1
libripreferiti,1
libridisturbanti,1
leggerefantasy,1
thesecrethistory,1
fallbooks,1
letturedisettembre,1
tbrdiottobre,1
lettriciditiktok,1
ifwewerevillains,1
fleabagedit,1
stoleggendo,1
serietvnetflix,1
laenvidiaseteve,1
librifantasy,1
novembertbr,1
ginnyegeorgia,1
octobertbr,1
naoisedolan,1
