TikTok User Statistics
Username,sicibooks
Nickname,Gaiasici | booktok
Country,
Follower Count,14600
Heart Count,573800
Video Count,1122
Following Count,124
Likes Rate,6.84%
Comments Rate,0.06%
Shares Rate,0.04%
Total Engagement Rate,6.94%
Earnings Min,$10.93
Earnings Max,$17.17
Average Views,75936
Average Likes,5194
Average Comments,47
Average Shares,32
,
Videos
Date,Plays,Likes,Comments,Shares,Description
4/29/2024, 12:49:54 PM,43300,2907,189,62,"Risposta a @tthewhitee sono curiosa di sentire il vostro parere👀👀 %23booktok %23bookitalia %23noiiragazzidellozoodiberlino "
3/3/2022, 2:07:15 PM,1000000,68600,413,379,"I classici da leggere almeno una volta!! Pt.1 %23booktokitalia %23viral %23bookclub %23italia %23fyp"
6/19/2025, 3:59:18 PM,1660,74,4,1,"Che bello l’amore😭🤍 %23love %23couple "
5/15/2025, 2:13:55 PM,1604,98,4,3,"Ovviamente ho già il lettura il secondo 🙇🏻‍♀️💘 %23booktok %23booktokitalia %23libridaleggere %23recensionelibri %23lettureconsigliate "
5/14/2025, 2:01:33 PM,3723,179,18,1,"E voi lo avete letto?🌚✨ %23booktok %23booktokitalia %23libridaleggere %23consigliolibri  "
5/13/2025, 12:15:37 PM,1628,94,5,1,"Frasi preferite del nuovo libro di Bible 💭 %23booktok %23booktokitalia %23michaelbible %23goodbyehotel "
5/12/2025, 1:19:55 PM,1678,111,11,0,"Consigliatemene altri pls 🙇🏻‍♀️ %23booktok %23booktokitalia %23libridaleggere "
5/11/2025, 3:58:28 PM,1166,73,0,0,"Parte 2 dei libri che ho ancora da leggere in libreria (la parte 1 qui  @Gaiasici | booktok perchè parlo troppo) 💘💘 %23booktok %23booktokitalia %23libridaleggere "
5/10/2025, 2:19:57 PM,1635,146,4,1,"Tutti i libri non letti della mia libreria (parte 1 perché parlo troppo 💆🏻‍♀️) 💘 %23booktok %23booktokitalia %23libridaleggere "
5/6/2025, 2:52:30 PM,927,71,3,2,"Nuovi libri mooolto belli 🌚💘 %23booktok %23booktokitalia %23libridaleggere %23abocaedizioni @giulioperroneditore "
5/5/2025, 2:06:41 PM,1409,84,2,1,"What’s in my kindle ep. 2 💘💘 (l’ep 1 è qui  @Gaiasici | booktok ) %23booktok %23booktokitalia %23libridaleggere %23kindle "
5/3/2025, 2:08:33 PM,1890,121,2,0,"Riconoscere i titoli livello difficile 🌚 %23BookTok %23booktokitalia %23libridaleggere @Giulio Einaudi editore @FeltrinelliTok @Mondadori %23abocaedizioni "
5/2/2025, 1:53:37 PM,1176,94,5,0,"Cosa ho letto ad aprile??💘 %23booktok %23booktokitalia %23wrapup "
4/30/2025, 12:53:51 PM,1315,70,6,0,"Parte 2 di me che parlo senza sosta di 4321 di Paul Auster (tap qui  @Gaiasici | booktok per la parte 1), ovviamente ora aspetto la vostra classifica delle vite di Archie 🌚💘 %23booktok %23booktokitalia %23vlogdilettura %23paulauster "
,
Mentions
@Gaiasici,3
@FeltrinelliTok,1
@Giulio,1
@Mondadori,1
@tthewhitee,1
@giulioperroneditore,1
,
Hashtags
booktokitalia,12
booktok,11
libridaleggere,8
abocaedizioni,2
BookTok,1
viral,1
italia,1
recensionelibri,1
wrapup,1
goodbyehotel,1
michaelbible,1
bookclub,1
couple,1
consigliolibri,1
noiiragazzidellozoodiberlino,1
paulauster,1
lettureconsigliate,1
kindle,1
vlogdilettura,1
bookitalia,1
fyp,1
love,1
