TikTok User Statistics
Username,sof_intobooks
Nickname,sof_russianlit
Country,
Follower Count,3683
Heart Count,215000
Video Count,227
Following Count,991
Likes Rate,13.36%
Comments Rate,0.08%
Shares Rate,0.14%
Total Engagement Rate,13.58%
Earnings Min,$2.93
Earnings Max,$4.6
Average Views,88854
Average Likes,11866
Average Comments,71
Average Shares,128
,
Videos
Date,Plays,Likes,Comments,Shares,Description
10/30/2022, 10:00:24 AM,1200000,166600,870,1631,"tema Halloween %23booktok %23booktoker %23booklover %23ivoltidelmale %23perte %23fy %23fyp "
8/17/2023, 11:14:28 AM,53900,3526,91,84,"Untouchable %23booktok %23booktoker %23boktokitalia %23perte %23fy %23fyp %23reader %23booklover %23bookish %23bookaddicted %23russianliterature %23%23booksreccomendation"
8/16/2023, 11:11:12 AM,69200,7061,41,204,"%23booktok %23booktoker %23boktokitalia %23perte %23%23fy%23f%23fypb%23bookloverb%23bookaddictedb%23bookloverb%23bookishb%23booksreccomendationsc%23classicbooksr%23reader"
11/19/2024, 10:16:10 AM,901,35,6,3,"ringrazio @Anita 🧚🏻‍♀️ | Bookblogger 📚 per il tag 💘 %23booktok %23booktoker %23bookworm %23books %23foryou %23bookish %23perte %23bookaholic %23fyp %23bookclub %23tbrlist %23booktag "
11/12/2024, 10:54:54 AM,984,76,1,1,"%23booktok %23booktoker %23bookworm %23books %23perte %23foryou %23bookish %23bookaholic %23fyp %23bookclub %23bookstan %23tbr %23tbrlist %23bookrecommendations "
11/9/2024, 11:10:28 AM,928,62,8,0,"%23booktok %23booktoker %23bookworm %23books %23foryou %23bookish %23perte %23bookaholic %23fyp %23bookhaul %23bookclub %23bookrecommendations "
11/4/2024, 9:42:11 AM,630,51,8,0,"%23booktok %23booktoker %23bookworm %23books %23perte %23foryou %23bookish %23bookaholic %23fyp %23bookclub %23bookstan %23wrapupbooks %23wrapup %23bookrecs %23bookrecommendations "
10/29/2024, 10:07:14 AM,592,37,4,2,"Ringrazio @VersoItaca per il tag e invito chiunque voglia a farlo 🫶🏼 %23booktok %23booktoker %23bookworm %23books %23perte %23foryou %23bookish %23bookaholic %23fyp %23booktag %23favbooks %23bookstan "
10/19/2024, 11:04:10 AM,680,57,2,0,"%23booktok %23booktoker %23bookworm %23books %23perte %23foryou %23bookclub %23bookish %23bookaholic %23bookrecs %23fyp %23tbr %23tbrlist %23octobertbr "
10/17/2024, 10:54:20 AM,687,70,1,0,"In super mega ritardo ma arrivo anch’io %23booktok %23booktoker %23bookworm %23books %23perte %23foryou %23bookclub %23bookish %23bookaholic %23bookrecs %23wrapup %23wrapupbooks %23septemberwrapup "
9/24/2024, 10:49:46 AM,941,97,9,0,"%23booktok %23booktoker %23bookworm %23books %23perte %23foryou %23bookclub %23bookish %23bookaholic %23bookrecs %23fyp %23books "
9/12/2024, 2:14:32 PM,765,50,2,1,"Ringrazio @Anita 🧚🏻‍♀️ | Bookblogger 📚 per il tag e taggo chiunque non l’abbia ancora fatto 🫶🏼 %23booktok %23booktoker %23bookworm %23books %23perte %23foryou %23bookclub %23bookaddicted %23bookish %23bookaholic %23booktag %23tbrlist %23book "
9/11/2024, 10:25:33 AM,676,63,7,0,"Questo mese in ritardo su tutta la tabella di marcia ma sono arrivata anche io %23booktok %23booktoker %23bookworm %23books %23perte %23foryou %23bookclub %23bookaddicted %23bookish %23bookaholic %23bookrecs %23tbr %23tbrlist %23septembertbr "
9/9/2024, 9:51:16 AM,1117,126,9,2,"In super ritardo wrap up di agosto %23booktok %23booktoker %23bookworm %23books %23perte %23foryou %23bookclub %23bookaddicted %23bookish %23bookaholic %23bookrecs %23wrapup %23augustwrapup %23wrapupbooks "
8/30/2024, 11:03:18 AM,815,90,20,0,"Giuro che il prossimo book haul sarà quello degli sconti fazi %23booktok %23booktoker %23bookworm %23books %23perte %23foryou %23bookclub %23bookaddicted %23bookish %23bookaholic %23tbr %23bookhaul %23book "
,
Mentions
@Anita,2
@VersoItaca,1
,
Hashtags
booktoker,15
perte,15
booktok,15
bookish,13
books,13
bookaholic,12
bookworm,12
foryou,12
bookclub,11
fyp,9
bookrecs,6
tbrlist,5
bookaddicted,5
tbr,4
bookrecommendations,3
wrapup,3
bookstan,3
fy,3
wrapupbooks,3
booktag,3
booklover,2
bookloverb,2
book,2
boktokitalia,2
bookhaul,2
reader,2
f,1
bookaddictedb,1
booksreccomendationsc,1
ivoltidelmale,1
booksreccomendation,1
classicbooksr,1
russianliterature,1
favbooks,1
septembertbr,1
bookishb,1
fypb,1
augustwrapup,1
octobertbr,1
septemberwrapup,1
