TikTok User Statistics
Username,te_lo_leggo
Nickname,te_lo_leggo
Country,
Follower Count,10100
Heart Count,68200
Video Count,367
Following Count,310
Likes Rate,5.41%
Comments Rate,0.13%
Shares Rate,0.39%
Total Engagement Rate,5.93%
Earnings Min,$7.49
Earnings Max,$11.77
Average Views,2276
Average Likes,123
Average Comments,2
Average Shares,8
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/11/2025, 3:04:49 PM,351,21,3,1,"Romanticizing my life has been the best decision of 2025 ♥️ If I’m the author of this story, I’m gonna make it my own best seller ✨ %23romanticizeyourlife "
11/10/2025, 11:23:59 PM,392,19,5,0,"Ad @accentoedizioni non lo sanno, ma oggi questo libro vale più del solito. Che gioia tornare a casa dopo tanti giorni e trovare pura gioia stampata. Questo è Mi chiedo quando ti mancherò di Amanda Davis e adesso te lo leggo ✨ %23teloleggo %23perte %23booktokitalia "
11/10/2025, 5:34:27 PM,347,14,1,1,"BUTTER update 🙊🍿 %23teloleggo %23books %23butterbook "
11/9/2025, 12:47:33 PM,447,25,1,1,""
11/8/2025, 2:01:47 PM,882,28,2,4,"%23adults %23fyp"
11/6/2025, 5:33:37 PM,10200,385,5,72,""
11/5/2025, 1:45:12 PM,435,17,1,0,"A little bit of Rome - A little bit of London "
11/3/2025, 5:38:41 PM,441,16,3,0,"You never forget the first @Fitzcarraldo Editions ✨ I just picked up this babe in London and it is just by chance that it is by an Italian author. Let’s see if I can finish it before I leave 💁🏻‍♀️ %23fyp %23booktok %23fitzcarraldoeditions "
11/2/2025, 4:07:41 PM,873,57,3,3,"It would be basically inbreeding 💁🏻‍♀️@AIELLO  %23fyp %23notdating "
11/1/2025, 2:41:32 PM,9660,749,5,11,"Un bacio a tutte le serate perse perché a Roma non si trova parcheggio ✌🏼 %23sentimentale %23aiello %23levante %23parcheggio %23fyp "
10/31/2025, 9:12:06 PM,2796,124,4,13,"Kisses from London ✌🏼 %23halloween %23waistoftime "
10/30/2025, 1:55:21 PM,490,24,2,0,"Ho deciso di smetterla di fare la snob purista e ho scaricato @Audible per aprirmi agli audiolibri. Nella prima settimana ho ascoltato:  - Il volto del male di Stefano Nazzi - L’anniversario di Andrea Bajani  - Cambiare l’acqua ai fiori di Valerie Perrin  Quasi quasi st’audiolobri mi hanno convinta %23booktok %23audiolibri %23audible %23teloleggo"
,
Mentions
@Audible,1
@Fitzcarraldo,1
@accentoedizioni,1
@AIELLO,1
,
Hashtags
fyp,4
teloleggo,3
booktok,2
audible,1
butterbook,1
booktokitalia,1
perte,1
aiello,1
romanticizeyourlife,1
fitzcarraldoeditions,1
halloween,1
audiolibri,1
parcheggio,1
waistoftime,1
sentimentale,1
adults,1
levante,1
books,1
notdating,1
