TikTok User Statistics
Username,testa.tra.i.libri
Nickname,aurora
Country,
Follower Count,20500
Heart Count,1300000
Video Count,645
Following Count,25
Likes Rate,14.33%
Comments Rate,0.11%
Shares Rate,0.12%
Total Engagement Rate,14.56%
Earnings Min,$16.44
Earnings Max,$25.83
Average Views,26959
Average Likes,3862
Average Comments,30
Average Shares,32
,
Videos
Date,Plays,Likes,Comments,Shares,Description
1/10/2023, 7:06:16 PM,270600,39600,261,357,"la mia fyp solo così %23nottibianche %23diecipiccoliindiani %23tuttochiedesalvezza %23solotaire %23arianddante %23harrypotter %23alittlelife %23unavitacometante %23booktok %23booktokitalia %23bookworm %23bookish %23booktoker %23readersoftiktok %23algorithm %23reader %23reading %23viral %23foryou %23perte "
7/3/2023, 12:50:59 PM,51000,5699,21,71,"la reunion più attesa %23exchangestudent %23booktok %23booktokitalia %23bookworm %23bookish %23booktoker %23readersoftiktok %23algorithm %23reader %23reading %23viral %23foryou %23perte "
8/28/2022, 6:58:18 PM,29900,5294,26,12,"4321 in grecia (l’ho prestato a mio padre, io devo ancora leggerlo) %23booktok %23booktokitalia %23bookworm %23bookish %23booktoker %23readersoftiktok %23algorithm %23reader %23reading %23viral %23foryou %23perte %23GenshinTeleport %23UnlimitedHPInk %234321 %23paulauster %23readingvlog %23vlogdilettura"
11/12/2025, 7:14:47 PM,1374,277,6,0,"Replying to @✩sofi✩ non sono riuscita ad allungare la durata del commento a cui rispondo quindi flasha a schermo per un millisecondo, fate finta di niente %23booktok %23foryou %23perte %23booktokitalia %23mydarkvanessa "
11/5/2025, 7:00:28 PM,2339,424,5,1,"godo grz ancora :) @HarperCollins Italia  %23booktok %23foryou %23perte %23booktokitalia %23bookhaul "
10/20/2025, 7:07:52 PM,5572,753,17,3,"tbr più random era difficile %23booktok %23foryou %23perte %23booktokitalia %23tbr "
10/17/2025, 7:25:56 PM,4518,749,28,9,"mi gaso troppo a parlare di fanfiction… devo farmi curare %23booktok %23foryou %23perte %23marauders %23fanfiction "
10/15/2025, 7:14:32 PM,3773,647,11,4,"i ❤️ tiktok %23booktok %23booktokitalia %23foryou %23perte %23booktoker mai detto così tante volte “booktok” nella mia vita"
10/14/2025, 7:00:52 PM,2712,381,4,7,"ennesimo in tbr, ma se è gratis accetto %23bookhaul %23booktok %23foryou %23perte %23booktokitalia  "
10/13/2025, 7:11:45 PM,3067,518,10,0,"parlo di tutt’altro quando il vero protagonista di settembre è stato shantaram ma vabbè %23wrapup %23booktok %23foryou %23perte %23booktokitalia "
9/30/2025, 7:34:21 PM,11700,1726,43,15,"la VERGOGNA vera %23tbr %23booktok %23foryou %23perte %23booktokitalia "
9/27/2025, 7:10:13 PM,3969,390,11,5,"la recensione che avevo fatto: @aurora  il video spoiler dove parlo del finale: @aurora  %23stephenking %23booktok %23foryou %23perte %23booktokitalia  "
9/26/2025, 6:42:02 PM,1736,220,7,3,"sono questa %23thingsiunfortunatelylike %23trend %23booktok %23perte %23foryou "
9/24/2025, 7:02:27 PM,8141,754,11,4,"1 euro per ogni volta che dico india  %23india %23shantaram %23booktok %23booktokitalia %23bookworm %23bookish %23booktoker %23readersoftiktok %23algorithm %23reader %23reading %23viral %23foryou %23perte "
9/23/2025, 6:49:02 PM,3998,500,2,1,"settimana tema india 🇮🇳🫰 %23shantaram %23india %23booktok %23booktokitalia %23bookworm %23bookish %23booktoker %23readersoftiktok %23algorithm %23reader %23reading %23viral %23foryou %23perte "
,
Mentions
@aurora,2
@HarperCollins,1
,
Hashtags
perte,15
booktok,15
foryou,15
booktokitalia,13
booktoker,6
bookish,5
viral,5
readersoftiktok,5
bookworm,5
reading,5
reader,5
algorithm,5
tbr,2
bookhaul,2
india,2
shantaram,2
diecipiccoliindiani,1
unavitacometante,1
trend,1
wrapup,1
arianddante,1
GenshinTeleport,1
harrypotter,1
nottibianche,1
fanfiction,1
readingvlog,1
exchangestudent,1
tuttochiedesalvezza,1
stephenking,1
UnlimitedHPInk,1
paulauster,1
marauders,1
alittlelife,1
4321,1
vlogdilettura,1
thingsiunfortunatelylike,1
solotaire,1
mydarkvanessa,1
