TikTok User Statistics
Username,thebooksharmony
Nickname,Mattia-thebooksharmony
Country,
Follower Count,12000
Heart Count,799700
Video Count,674
Following Count,62
Likes Rate,1.3%
Comments Rate,0.01%
Shares Rate,0.02%
Total Engagement Rate,1.33%
Earnings Min,$8.51
Earnings Max,$13.38
Average Views,528720
Average Likes,6852
Average Comments,28
Average Shares,99
,
Videos
Date,Plays,Likes,Comments,Shares,Description
10/23/2023, 12:56:37 PM,259400,22600,134,221,"Colpito già dalla prima pagina. %23shantaram %23mattoni %23booktok %23bookrecs "
11/12/2025, 4:28:06 PM,8640,726,27,22,"Voi quale altro libro aggiungereste alla lista? %23leggere %23libriconsigliati "
11/6/2025, 7:18:16 PM,8710,467,9,18,"Li avete letti? Di quale altro autore vorreste scoprire i libri preferiti? %23leggere %23stephenking "
11/3/2025, 2:25:54 PM,1487,84,4,1,"Che gemma ha tirato fuori @Fazi Editore !! 😍 Vi piace? %23twilight %23leggere %23libri "
10/31/2025, 7:29:29 PM,126000,8087,86,607,"Voi li avete letti? %23leggere %23libridaleggereassolutamente "
10/30/2025, 4:51:40 PM,1978,83,2,0,"Voi cosa ne pensate di questo libro? %23seta %23baricco "
10/29/2025, 4:56:25 PM,6300000,46400,0,88,"In “The Traitors” un gruppo di 14 partecipanti  vive insieme in un castello spettacolare. Collaborano per superare prove e accumulare un montepremi in denaro… ma tra loro si nascondono dei Traditori. Il loro obiettivo? Mentire, manipolare e ingannare i Leali per portarsi a casa tutto il premio. Nessuno può fidarsi di nessuno. E per annunciare il loro arrivo, Prime Video ha trasformato le strade di Milano in un vero e proprio gioco psicologico: due parate di incappucciati hanno invaso la città, recitando litanie, distribuendo rose e lettere misteriose ai passanti! Una performance surreale, inquietante, impossibile da ignorare. Io fortunatamente c’ero e vi assicuro che ogni sguardo mi lasciava dubbi su dubbi 😂 The Traitors Italia arriva il 30 ottobre solo su @Prime Video  Non perdetevelo! %23a%23advthetraitorsitalia %23primevideoit %23primevideoitalia %23reality "
10/28/2025, 3:36:50 PM,57400,4725,9,61,"Spezzato a metà. %23baricco %23leggere %23seta "
10/27/2025, 3:10:49 PM,64200,3089,35,163,"E voi l’avete letto? Vi piace Dostoevskij? %23libri %23dostoevskij "
10/25/2025, 6:09:42 PM,33200,1899,35,82,"Voi l’avete letto? Cosa ne pensate? %23narrativa %23fioriperalgernon "
10/24/2025, 5:04:51 PM,1800,118,7,1,"MI SALE IL CRIMINE %23italiano %23lingua "
10/22/2025, 5:51:11 PM,3636,170,6,8,"Ecco alcuni consigli di libri di cui probabilmente non avreste mai sentito parlare altrimenti! Vi ispirano? %23leggere %23libri "
10/21/2025, 11:06:52 AM,6912,628,12,19,"Ora tutto torna, dato che la sua identità è ignota 😨 %23lamicageniale %23elenaferrante "
,
Mentions
@Fazi,1
@Prime,1
,
Hashtags
leggere,6
libri,3
baricco,2
seta,2
fioriperalgernon,1
elenaferrante,1
narrativa,1
mattoni,1
libriconsigliati,1
italiano,1
bookrecs,1
lingua,1
primevideoitalia,1
stephenking,1
twilight,1
booktok,1
a,1
reality,1
primevideoit,1
lamicageniale,1
libridaleggereassolutamente,1
advthetraitorsitalia,1
shantaram,1
dostoevskij,1
