TikTok User Statistics
Username,thebookwarmhobbit
Nickname,Viviana Autieri🦊
Country,
Follower Count,77400
Heart Count,8200000
Video Count,1984
Following Count,495
Likes Rate,14.03%
Comments Rate,0.1%
Shares Rate,0.12%
Total Engagement Rate,14.25%
Earnings Min,$61.9
Earnings Max,$97.27
Average Views,10699
Average Likes,1501
Average Comments,10
Average Shares,12
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/13/2025, 2:32:54 PM,4819,1001,1,8,"LAVORO BUTTATO, BAMBINO ALTERATO DI NUOVO %23comedy %23fyp %23teacher %23perte "
11/11/2025, 12:56:56 PM,6897,991,7,11,"Finalmente riesco a sedermi %23comedy %23Booktokitalia %23fyp %23booktok %23libri "
11/7/2025, 2:40:20 PM,10400,1536,6,31,"Grazie a Dio è venerdì  %23comedy %23maestra %23teachertok %23perte %23fyp"
11/6/2025, 2:45:00 PM,12100,1513,11,3,"Video inutile me ne rendo conto %23comedy %23Booktokitalia %23maestra %23whatsinmybag %23fyp "
11/4/2025, 6:09:10 PM,12500,1868,30,52,"PARMA. %23comedy %23Booktokitalia %23perte %23storytime %23fyp "
11/3/2025, 3:25:55 PM,6714,839,8,1,"THE ROMS THE COMS %23comedy %23perte %23vlog %23theatrekid "
11/2/2025, 12:53:34 PM,3760,488,8,3,"Le 24 ore più random della mia vita @Francesca De Cecchi 🦊 %23vlog %23comedy %23perte %23Booktokitalia %23fyp "
10/30/2025, 3:22:17 PM,8200,1217,7,1,"Per sempre grata %23comedy %23perte %23family %23fyp "
10/29/2025, 1:58:10 PM,19000,2711,20,10,"Che buono %23Booktokitalia %23perte %23comedy %23fyp %23svuotaspesa "
10/26/2025, 10:34:09 AM,16000,2499,12,16,"Mi siete mancati %23Booktokitalia %23perte %23comedy %23fyp %23booktok "
10/25/2025, 10:37:51 AM,13900,1987,2,1,"Sono a Roma per tre giorni %23Booktokitalia %23perte %23comedy %23fyp %23booktok "
10/23/2025, 8:56:14 PM,14100,1365,19,13,"Sto video lo guarderemo io e mi madre %23haircareroutine %23curlyhairroutine %23fyp %23perte %23comedy "
,
Mentions
@Francesca,1
,
Hashtags
comedy,12
fyp,11
perte,10
Booktokitalia,7
booktok,3
maestra,2
vlog,2
teachertok,1
theatrekid,1
family,1
svuotaspesa,1
curlyhairroutine,1
whatsinmybag,1
teacher,1
libri,1
storytime,1
haircareroutine,1
