TikTok User Statistics
Username,theinspiringreader
Nickname,Glenda | Booktok 📖
Country,
Follower Count,1083
Heart Count,19600
Video Count,299
Following Count,268
Likes Rate,8.27%
Comments Rate,1.19%
Shares Rate,0.21%
Total Engagement Rate,9.67%
Earnings Min,$0.83
Earnings Max,$1.31
Average Views,571
Average Likes,47
Average Comments,6
Average Shares,1
,
Videos
Date,Plays,Likes,Comments,Shares,Description
5/1/2025, 9:35:05 AM,396,42,4,0,"Avrei voluto dire tantissime cose di questo libro, ma se l’avessi fatto, avrei svelato troppo, negandovi la meraviglia della lettura🖤 CE: La Nuova Frontiera  %23theinspiringreader %23bookreview %23recensionelibri %23ladonnachescrissefrankenstein %23esthercross %23lanuovafrontiera %23gifted %23booktok %23booktokita %23booktokitalia %23fyp "
8/16/2025, 9:42:46 AM,861,78,27,0,"Grazie di cuore a Melissa e @Mondadori per avermi omaggiato di questo grande classico, che conquista, senza ombra di dubbio, il primo posto tra i miei preferiti, insieme a Cime tempestose🖤 %23theinspiringreader %23recensionelibri %23janeeyre %23charlottebronte %23booktok  "
5/2/2025, 1:11:49 PM,537,46,9,3,"Graziee @Logos&Books🎧📚 per questo regalo natalizio, che rientrerà nella top 3 dei migliori 2025❤️ CE: La Nuova Frontiera  %23theinspiringreader %23bookreview %23recensionelibri %23lanuovafrontiera %23lafigliaunica %23guadalupenettel %23booktok %23booktokita %23booktokitalia %23fyp "
11/10/2025, 11:56:01 AM,326,30,10,0,"Dalla stessa autrice di Cadavere squisito… ecco Le indegne di Agustina Bazterrica ❤️‍🔥 Da oggi in libreria📚 Grazie di cuore a Francesca e @Eris 🤍 %23theinspiringreader %23leindegne %23booktokita %23nuovauscita %23erisedizioni "
11/6/2025, 6:38:48 PM,337,29,2,3,"Ottobre Wrap-Up 📚 @rebelleedizioni @Neri Pozza editore @ABEditore @NN Editore @federicordt "
11/5/2025, 6:48:49 PM,341,50,2,2,"Non so se sia più Natale o compleanno con tutte queste new entry📚🥰 @Adelphi Edizioni @Iperborea Casa Editrice @Neri Pozza editore @L’ippocampo Edizioni  %23theinspiringreader %23booktokita %23libridaleggere %23bookhaul %23giftedby "
11/3/2025, 8:16:04 PM,321,32,8,0,"Il veleno, il modo più elegante per uccidere🧪 @rebelleedizioni  %23theinspiringreader %23recensione %23graphicmonday %23rebelleedizioni %23booktokita "
10/31/2025, 7:23:28 AM,832,38,0,0,"Niente finestrelle da aprire, solo storie da scoprire. Ogni racconto è un passo più vicino all’oscurità, fino alla notte di Halloween, quando tutto prende vita💀 @ABEditore  %23theinspiringreader %23adventumtenebris %23recensione %23spookyvibes %23spookyseason "
10/29/2025, 8:58:34 PM,1878,87,14,4,"Grazie @Federico Colombo Ver e @Iperborea Casa Editrice per questo invito e per la bellissima serata🧡👻 %23theinspiringreader %23vlog %23invitedby %23cacciatoriditenebre %23iperborea "
10/26/2025, 8:56:55 AM,793,81,2,3,"Un corpo nel fiume. Un ex poliziotto con un passato che non vuole dimenticare. E un commissario che sta per scoprire cosa si nasconde tra le nebbie del Po. Benvenuti a Ca’ Nera. 🌫️ %23theinspiringreader %23thrillerbooks %23gialloitaliano %23booktokitalia %23libridaleggere "
10/24/2025, 2:57:23 PM,436,52,9,3,"Libri, libri e ancora libri 📚 Grazie @Federico Colombo Ver e @Iperborea Casa Editrice 🧡 %23theinspiringreader %23libridaleggere %23bookhaul %23booktokitalia %23newentry "
10/23/2025, 7:33:08 PM,321,44,6,0,"🕯️🚲❤️‍🔥🔔🦗 SUR edizioni %23theinspiringreader %23recensionelibri %23lasecondavenutadihildabustamante %23booktokitalia %23consiglidilettura "
10/22/2025, 1:51:38 PM,457,40,1,0,"✨ Tra le scale della Rinascente si intrecciano sogni, ambizioni e amicizie. Un romanzo che profuma di stoffe, rinascita e coraggio femminile. 💚 @Neri Pozza editore @Giulia Maselli  %23theinspiringreader %23booktokitalia %23neripozza %23unmilionediscale %23larinascente "
10/21/2025, 7:30:13 PM,418,33,0,0,"📚 -20% su tutti i titoli @Neri Pozza editore dal 20 ottobre al 19 novembre! (Escluse solo le novità degli ultimi 6 mesi 😉) Io, ovviamente, ho già due libri nel carrello 😏 E voi? Quale titolo vi ispira di più? 💬 %23theinspiringreader %23consiglidilettura %23neripozza %23booktokitalia %23libridaleggere "
10/20/2025, 7:21:23 PM,314,27,8,0,"👻 Una storia gotica, ironica e un po’ macabra — perfetta per la spooky season🎃 @rebelleedizioni @Rebelle Box  %23theinspiringreader %23graphicmonday %23spookyvibes %23spookyseason %23recensionelibri "
,
Mentions
@Neri,4
@Iperborea,3
@rebelleedizioni,3
@Federico,2
@ABEditore,2
@L,1
@Mondadori,1
@federicordt,1
@NN,1
@Giulia,1
@Logos,1
@Rebelle,1
@Adelphi,1
@Eris,1
,
Hashtags
theinspiringreader,14
booktokitalia,7
recensionelibri,5
booktokita,5
libridaleggere,4
booktok,3
neripozza,2
spookyvibes,2
recensione,2
spookyseason,2
bookhaul,2
graphicmonday,2
lanuovafrontiera,2
consiglidilettura,2
fyp,2
bookreview,2
gialloitaliano,1
charlottebronte,1
iperborea,1
rebelleedizioni,1
erisedizioni,1
unmilionediscale,1
gifted,1
cacciatoriditenebre,1
esthercross,1
giftedby,1
guadalupenettel,1
thrillerbooks,1
lasecondavenutadihildabustamante,1
adventumtenebris,1
vlog,1
janeeyre,1
invitedby,1
lafigliaunica,1
nuovauscita,1
newentry,1
ladonnachescrissefrankenstein,1
leindegne,1
larinascente,1
