TikTok User Statistics
Username,tiffany_books00
Nickname,Ale🌻
Country,
Follower Count,3470
Heart Count,102000
Video Count,427
Following Count,507
Likes Rate,6.23%
Comments Rate,0.64%
Shares Rate,0.89%
Total Engagement Rate,7.76%
Earnings Min,$2.62
Earnings Max,$4.11
Average Views,403
Average Likes,25
Average Comments,2
Average Shares,3
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/8/2025, 12:39:45 PM,286,14,0,2,"S. Prassede - Roma ; un atmosfera così suggestiva che sembra essere catapultati in un’altra epoca 😍📜🗝️ %23arte %23artemedievale %23mosaico %23santaprassede %23universita "
10/30/2025, 8:02:29 PM,308,20,0,1,"Non sto piangendo per un libro che ancora devo leggere 🥹🥹🥹 @labibliotecadiDaphne  Le grafiche sono un qualcosa di eccezionale 😍😍😍 %23libreria %23BookTok %23book %23bookworm "
10/28/2025, 8:37:52 PM,300,23,1,3,"Eh va bene cosí 😂 prossimo passo leggere in inglese ✨ %23libreria %23BookTok %23book %23bookworm %23acotar "
10/27/2025, 8:31:24 PM,39,8,0,2,"Non vedo l’ora di rivedere la mia libreria 😍🥹📚  %23BookTok %23libreria %23bookhaul %23tbr %23libridaleggere "
10/18/2025, 2:25:28 PM,368,47,6,6,"Quando l’arte diventa realtà - S. Maria Maggiore / Roma - 🖼️🎨🏛️🏺🎭 %23santamariamaggiore %23magia %23artemedievale %23arte %23bookart "
10/12/2025, 10:58:22 PM,404,19,1,2,"Anche dal prezzo a dire il vero 😅 , c’è chi compra le caramelle quando arriva in cassa e chi compra libri 🤷🏻‍♀️  %23libri %23fuorisede %23bookhaul %23amorepsiche %23nietzsche "
10/1/2025, 10:13:10 PM,370,9,1,4,"A voi com’è andata la settimana? ✨ ( Mi sono resa conto che sono solo disavventure quelle che vi ho raccontato 😅; obiettivo è arrivare vive alla fine della stagione 💪🏻👊🏻🔥)  %23libreria %23libri %23universita %23tbr %23book "
9/22/2025, 7:34:22 PM,275,10,0,2,""
9/19/2025, 12:59:50 PM,745,65,8,5,"C’è da dire che nel mio caso l’altezza non aiuta 🧝🏻‍♀️🙈🙃 %23libri %23libreria %23lettrice %23tbr %23book "
9/17/2025, 1:16:09 PM,659,33,1,4,"Voi quali avete letto? 😘🖤🌻  %23fourthwing %23punk57 %23timidi %23ellekennedy %23limmortale "
9/16/2025, 12:55:37 PM,308,13,6,3,"Ci son cascata di nuovo 🤡  %23libridaleggere %23booktoker %23tbrlist %23librifantasy %23piccoledonne "
9/12/2025, 1:38:00 PM,782,41,7,9,"È vero che sono stata in silenzio stampa, ma la lettura in questi mesi non è mancata… infatti stiamo a 30 libri letti, raggiungendo così l’obbiettivo di quest’anno 🥹🥳📚 %23libridaleggere %23booktoker %23tbrlist %23librifantasy %23book "
,
Mentions
@labibliotecadiDaphne,1
,
Hashtags
libreria,5
book,5
BookTok,3
libridaleggere,3
libri,3
tbr,3
universita,2
booktoker,2
arte,2
tbrlist,2
bookworm,2
bookhaul,2
librifantasy,2
artemedievale,2
lettrice,1
limmortale,1
acotar,1
santamariamaggiore,1
nietzsche,1
timidi,1
fourthwing,1
punk57,1
fuorisede,1
amorepsiche,1
ellekennedy,1
bookart,1
santaprassede,1
magia,1
piccoledonne,1
mosaico,1
