TikTok User Statistics
Username,tradurremente
Nickname,Tradurremente
Country,
Follower Count,2078
Heart Count,103900
Video Count,176
Following Count,1118
Likes Rate,11.23%
Comments Rate,0.23%
Shares Rate,1.03%
Total Engagement Rate,12.49%
Earnings Min,$1.64
Earnings Max,$2.57
Average Views,31208
Average Likes,3505
Average Comments,70
Average Shares,320
,
Videos
Date,Plays,Likes,Comments,Shares,Description
5/4/2024, 1:18:16 PM,97200,6471,32,1424,"Se ami @Adelphi Edizioni non puoi perderti questa libreria! 🤯 %23BookTok %23Booktokitalia %23adelphiedizioni %23acquistiinlibreria %23libriusati %23fieradellibro "
2/3/2024, 1:19:09 PM,238400,37400,888,2197,"Una libreria Feltrinelli di tre piani veramente stupenda 🥹📚 %23BookTok %23Booktokitalia %23acquistiinlibreria %23libreriefeltrinelli %23feltrinellieditore "
10/15/2023, 11:41:23 AM,48200,2915,31,556,"Libri nuovi e usati a prezzi ASSURDI in %23Brera! ❤️📚 %23BookTok %23Booktokitalia %23acquistiinlibreria %23breramilano %23libriusati "
4/5/2025, 10:07:11 PM,1202,58,0,2,"e meditare e fare yoga e guardare albe e tramonti 🥰 %23yotengounangel %23gianlucagotto %23perte %23fyp "
3/13/2025, 9:07:55 PM,711,49,0,1,"a volte mi dimentico che sto parlando con lei 🥹 %23booktok %23booklover %23perteeee "
7/25/2024, 6:52:18 PM,629,58,3,0,"cc: @📚Giorgia📚 🫰🏻 %23BookTok %23Booktokitalia %23booklover %23bookishtiktok "
7/24/2024, 8:39:34 PM,1046,29,2,2,"Ho scoperto questo brand e me ne sono innamorata! Poi però ho visto il prezzo e la mia onesta reazione: 🫠🫠🫠 Non si può dire però che non siano troppo cute! 🥹 Il brand è @Olympialetanofficial 🌸 📍si trova a %23Parigi in Passage des deux Pavillons 5 E tu ne conosci altri? Fammelo sapere nei commenti👇 %23BookTok %23Booktokitalia %23olympialetan %23bookclutch %23bookbag %23bookishtiktok "
6/19/2024, 8:51:31 PM,1834,66,0,1,"Una carinissima libreria di quartiere dove rifugiarsi per un po’ di quiete e tanti libri tra cui scegliere! 💗📚 %23BookTok %23Booktokitalia %23acquistiinlibreria %23librerieindipendenti %23libreriemilano "
5/13/2024, 1:06:09 PM,18100,279,7,111,"Una libreria immersa nel verde! 📚 🌳 %23BookTok %23Booktokitalia %23acquistiinlibreria %23cascinacuccagna %23librerieindipendenti %23milanoportaromana "
4/28/2024, 12:13:35 PM,19400,1217,13,181,"Uno spazio SILENZIOSO e meraviglioso 🧘🏼‍♀️📚 %23BookTok %23Booktokitalia  %23mondadoristore @Mondadori @Mondadori Store %23acquistiinlibreria %23milanobarona "
4/7/2024, 12:00:50 PM,1238,90,0,2,"Ed ecco i titoli che mi hanno accompagna nel mese di marzo ✨ %23BookTok %23Booktokitalia %23consiglidilettura %23cosaleggere @Adelphi Edizioni %23mondadori @Penguin Random House "
3/25/2024, 10:45:26 PM,1265,125,2,10,"Una libreria davvero mozzafiato ❤️‍🩹📚 %23BookTok %23Booktokitalia %23lerdevagar %23librerieindipendenti %23acquistiinlibreria "
3/3/2024, 1:33:17 PM,2905,144,9,0,"Breve rassegna delle mie letture di febbraio, tutte consigliatissime tranne la prima, che purtroppo non mi è proprio piaciuta 🤧 %23BookTok %23Booktokitalia %23consiglidilettura %23cosaleggere %23feltrinellieditore @Edizioni E/O @Baldini+Castoldi  "
2/25/2024, 11:48:29 AM,4788,177,0,0,"Leggere al mare >>> %23BookTok %23Booktokitalia %23leggere %23mare %23apnea "
,
Mentions
@Mondadori,2
@Adelphi,2
@Baldini,1
@Olympialetanofficial,1
@Penguin,1
@Edizioni,1
,
Hashtags
BookTok,12
Booktokitalia,12
acquistiinlibreria,7
librerieindipendenti,3
feltrinellieditore,2
booklover,2
cosaleggere,2
bookishtiktok,2
libriusati,2
consiglidilettura,2
breramilano,1
mare,1
libreriefeltrinelli,1
cascinacuccagna,1
adelphiedizioni,1
libreriemilano,1
olympialetan,1
leggere,1
Brera,1
bookclutch,1
perte,1
mondadori,1
Parigi,1
milanoportaromana,1
bookbag,1
mondadoristore,1
booktok,1
fieradellibro,1
lerdevagar,1
milanobarona,1
gianlucagotto,1
apnea,1
fyp,1
perteeee,1
yotengounangel,1
