TikTok User Statistics
Username,unalettricepercaso_
Nickname,Filomena Iaccarino
Country,
Follower Count,9415
Heart Count,165700
Video Count,230
Following Count,336
Likes Rate,6.77%
Comments Rate,0.12%
Shares Rate,0.22%
Total Engagement Rate,7.11%
Earnings Min,$7.06
Earnings Max,$11.09
Average Views,6738
Average Likes,455
Average Comments,8
Average Shares,15
,
Videos
Date,Plays,Likes,Comments,Shares,Description
4/25/2025, 12:49:21 PM,25600,1925,27,45,"Chi sono? %23leggere %23unalettricepercaso %23booktok "
1/2/2025, 12:56:39 PM,32300,2066,60,75,"GRUPPO DI LETTURA - GLI INVISIBILI  Ci sono libri che brillano nelle vetrine, in cima alle classifiche, sulle bocche di tutti. E poi ci sono loro: gli invisibili, opere straordinarie che il tempo ha nascosto, che le mode hanno lasciato indietro, ma che non aspettano altro che essere scoperte. In questo gruppo di lettura, esploreremo storie dimenticate e autori sottovalutati, scavando tra le pieghe della letteratura per riportare alla luce pagine capaci di sorprendere, emozionare e, perché no, spiazzare. 📚 Un libro ogni due mesi: avrai tutto il tempo per perderti tra le righe, riflettere, amare o magari discutere animatamente. 🎥 Live su Instagram: la discussione prenderà vita direttamente sul mio profilo, perché le storie, si sa, si leggono da soli ma si vivono insieme. Quali libri leggeremo? Gennaio - Febbraio: Il deserto dei tartari, Dino Buzzati Marzo - Aprile: La stanza di Giovanni, James Baldwin  Maggio - Giugno: Il mare non bagna Napoli, Anna Maria Ortese Luglio - Agosto: Il grande mare dei sargassi, Jean Rhys  Settembre - Ottobre: La campana d’Islanda, Halldòr Laxness Novembre - Dicembre: Rayuela. Il gioco del mondo, Julio Cortàzar  Cosa aspetti? Unisciti a noi e scopri Gli Invisibili"
11/13/2025, 12:19:30 PM,439,59,1,0,"Ma magari  %23booktok "
11/12/2025, 3:45:22 PM,624,87,3,2,"Perché leggi?"
11/12/2025, 1:18:05 PM,2403,211,2,15,"Il vincitore del Booker Prize 2025 è Fresh di David Szalay, tradotto in Italia da @Adelphi Edizioni con il titolo “Nella carne” %23bookerprize %23flesh %23nellacarne %23adelphi %23davidszalay "
11/10/2025, 4:04:34 PM,1958,169,3,4,"Quando diciamo “ho girato la pagina” in realtà… stiamo sbagliando. Ti spiego il perché %23editoria %23tipografia %23leggere %23booktok "
11/9/2025, 12:49:15 PM,714,79,1,0,"lo non leggo thriller. Non leggo noir, non leggo romanzi d'indagine. Perché sono convinta che non mi piacciano. E invece, a volte, capita un libro che non ti lascia scelta: ti guarda dentro e ti costringe a leggere. I bambini di nessuno di Giuseppe Petrarca - un romanzo che parla di traffici, di fede, di colpa, ma soprattutto di ciò che resta dell'umano quando il mondo decide di ignorarlo. @Solferino Libri  %23ibambinidinessuno %23thriller %23poliziesco %23noir %23leggere "
11/6/2025, 2:00:44 PM,5941,492,2,15,"IL LIBRO BIANCO - HAN KANG %23hankang %23illibrobianco %23adelphi %23premionobel %23letteratura  @Adelphi Edizioni "
11/4/2025, 6:48:45 PM,816,73,1,0,"Han Kang signori. %23hankang %23illibrobianco %23adelphi "
11/3/2025, 3:30:52 PM,1010,105,0,4,"NOVITÀ EDITORIALI | OTTOBRE Titoli citati: - La terra del dolce domani di Harper Lee @FeltrinelliTok  - L’antidoto di Karen Russell  - Chiara di Antonella Lattanzi @Giulio Einaudi editore  %23novitàeditoriali %23libreria %23editoria %23booktok "
11/2/2025, 12:51:19 PM,15300,503,5,3,"FORMATO EDITORIALE Perché due libri del medesimo autore e pubblicati dalla stessa casa editrice, hanno formati diversi? %23formatoeditoriale %23editoria %23casaeditrice %23booktok "
11/1/2025, 12:22:45 PM,447,46,0,0,"Autunno. Un finestrino. Un raggio di sole che sa ancora scaldare. %23autunno %23booktok "
10/31/2025, 6:55:17 PM,6107,494,7,48,"Edizioni meravigliose e dove trovarle  La nuova edizione della Divina Commedia - Inferno di Dante @Blackie Edizioni  %23inferno %23divinacommedia %23dantealighieri "
10/30/2025, 1:18:21 PM,673,74,1,1,"Non tutti i fantasmi vivono nelle case infestate. Alcuni abitano nelle domande che non smettiamo di farci. Per Halloween, una lettura diversa dal solito: Cacciatori di tenebre di Ben Machell, la storia vera di un uomo che ha passato la vita a inseguire il buio per capire se lì dentro c’era qualcosa %23cacciatoriditenebre %23benmachell %23halloween %23lettura %23iperborea @Iperborea Casa Editrice "
,
Mentions
@Adelphi,2
@Iperborea,1
@FeltrinelliTok,1
@Giulio,1
@Blackie,1
@Solferino,1
,
Hashtags
booktok,6
editoria,3
adelphi,3
leggere,3
illibrobianco,2
hankang,2
tipografia,1
novitàeditoriali,1
bookerprize,1
formatoeditoriale,1
casaeditrice,1
poliziesco,1
ibambinidinessuno,1
iperborea,1
flesh,1
lettura,1
cacciatoriditenebre,1
libreria,1
premionobel,1
divinacommedia,1
davidszalay,1
benmachell,1
dantealighieri,1
inferno,1
halloween,1
nellacarne,1
unalettricepercaso,1
autunno,1
letteratura,1
noir,1
thriller,1
