TikTok User Statistics
Username,username
Nickname,username
Country,
Follower Count,319900
Heart Count,3191
Video Count,5
Following Count,225
Likes Rate,2.15%
Comments Rate,0.17%
Shares Rate,0.38%
Total Engagement Rate,2.7%
Earnings Min,$229.98
Earnings Max,$361.39
Average Views,29740
Average Likes,638
Average Comments,52
Average Shares,112
,
Videos
Date,Plays,Likes,Comments,Shares,Description
7/31/2025, 1:20:32 AM,12500,102,16,4,"3 Piece with Sniper on CSGO"
7/31/2025, 1:14:04 AM,10600,73,10,0,"Some D.Va Gameplay"
1/19/2025, 2:59:41 AM,39800,416,44,25,"Everyone go follow me on the new app called “Neptune App” my @ is @username just like this one "
8/30/2024, 2:23:47 AM,63500,2232,106,510,"Final Part! %23wintersoldier %23marvel %23avengers %23bucky %23edit %23mcu %23username "
8/30/2024, 1:35:36 AM,22300,367,84,21,"Like for Part 2 of the video! %23wintersoldier %23marvel %23avengers %23bucky %23edit %23mcu %23username "
,
Mentions
@username,1
,
Hashtags
marvel,2
mcu,2
wintersoldier,2
bucky,2
avengers,2
username,2
edit,2
